id;dateexpediteur;montant;idexpediteur;dateretrait;iddestinataire;iduserexpediteur;iduserrecepteur;commission;commissionexpediteur;commissionrecepteur;taxe;status;code;client_id;user_id
1;2019-10-11T13:38:59;79654;95071;2019-10-11T18:14:10;73199;77969;59865;59685;15601;44583;15599;Practical Fresh Pants;60111;1;1
2;2019-10-11T05:38:42;65088;2058;2019-10-11T21:17:05;96990;72199;83244;93855;21233;77;18182;Soap methodology Albania;43194;2;1
3;2019-10-11T15:38:57;52477;61185;2019-10-11T13:02:31;13949;4666;29214;97375;36636;23277;45606;bluetooth;19967;3;1
4;2019-10-11T10:17:49;98323;59241;2019-10-11T11:26:11;4645;85994;60754;68030;17052;45049;6505;Factors;96563;4;2
5;2019-10-11T03:14:14;38541;30461;2019-10-11T22:15:19;9767;23089;68423;24102;44015;68326;12203;Buckinghamshire Games;90932;5;1
6;2019-10-11T16:25:40;18223;66252;2019-10-11T04:30:36;31171;42515;52006;20794;54671;56770;18485;Facilitator;77513;6;1
7;2019-10-11T00:05:27;39515;89482;2019-10-11T00:23:56;59789;72727;92187;32654;8849;57044;19598;Tasty Plastic Pizza scale;27134;7;2
8;2019-10-11T02:44:56;58675;35675;2019-10-10T23:28:21;28093;60703;54269;27599;14092;29627;80219;Small;98688;8;1
9;2019-10-11T04:06:17;39488;19871;2019-10-11T15:35:41;552;1407;81546;19884;70685;71134;72900;quantify Unbranded Plastic Tuna Frozen;86310;9;2
10;2019-10-11T07:40:46;44945;33089;2019-10-11T20:20:55;6355;37081;31098;66884;32518;66592;72960;withdrawal COM;47221;10;1
